datetime,Classic_occ,AI_occ,Classic_price,AI_price,traffic_score,base_entries,actual_entries,lost_entries_step
2022-06-26 04:55:00,180.0,149.55917838426586,1.8890987205869956,1.75,0.3743538411764483,0.0,0.0,0.0
2022-06-26 05:00:00,180.0,180.0,1.9079771115636042,1.75,0.13647340862656399,0.75,0.9996480377683092,-0.24964803776830924
2022-06-26 05:05:00,154.49811372412725,133.9337335794286,1.9079771115636042,1.75,0.8179482731550223,0.75,0.6214541120870636,0.12854588791293642
2022-06-26 05:10:00,115.4903074297902,149.66478111266497,1.9079771115636042,1.75,1.3212297713886463,0.75,0.694441254006068,0.05555874599393196
2022-06-26 05:15:00,155.6626599114685,180.0,1.9079771115636042,1.75,0.43834804803117,0.75,1.1646173045847747,-0.41461730458477475
2022-06-26 05:20:00,164.21906450555164,165.87755751728744,1.9587870702295804,1.75,0.8421348468046895,0.75,0.7696568595736095,-0.01965685957360952
2022-06-26 05:25:00,139.01157923201987,151.75085438893436,1.9587870702295804,1.75,1.1625860245788189,0.75,0.7041050590177603,0.045894940982239674
2022-06-26 05:30:00,138.93918012983494,116.70979550146026,1.9587870702295804,1.75,2.345193501163988,0.75,0.5415149304171559,0.20848506958284407
2022-06-26 05:35:00,180.0,148.09839767173358,1.9587870702295804,1.75,2.245367956689735,0.75,0.6871480120384221,0.06285198796157787
2022-06-26 05:40:00,180.0,180.0,2.04192410113647,1.75,2.1331483694603373,0.75,1.1559834503447926,-0.40598345034479255
2022-06-26 05:45:00,180.0,180.0,2.04192410113647,1.75,1.8207771811818607,0.75,1.2530256379283435,-0.5030256379283435
2022-06-26 05:50:00,168.997057330529,140.38916563578454,2.04192410113647,1.75,3.9005218639269006,0.75,0.6513642968404005,0.09863570315959946
2022-06-26 05:55:00,160.68962303219874,177.58316479741572,2.04192410113647,1.75,4.163907565196199,0.75,0.8239274195400683,-0.07392741954006832
2022-06-26 06:00:00,78.72029134703942,180.0,2.1442314909081635,1.75,3.16405632447704,2.5,4.639815584666337,-2.139815584666337
2022-06-26 06:05:00,83.52474942309827,180.0,2.1442314909081635,1.75,2.821422098662982,2.5,4.944811592107198,-2.4448115921071976
2022-06-26 06:10:00,81.82921210775511,180.0,2.1442314909081635,1.75,3.284941915872049,2.5,4.560030783352741,-2.060030783352741
2022-06-26 06:15:00,91.14180015086717,180.0,2.1442314909081635,1.75,4.056657109346821,2.5,4.5728894728772165,-2.0728894728772165
2022-06-26 06:20:00,56.29719271452098,180.0,2.235155225387621,1.75,4.487716671423413,2.5,4.4220838897153305,-1.9220838897153305
2022-06-26 06:25:00,73.14909943859693,180.0,2.235155225387621,1.75,3.924004246111645,2.5,3.2961658337436033,-0.7961658337436033
2022-06-26 06:30:00,77.18591535675529,180.0,2.235155225387621,1.75,3.4047657094732955,2.5,3.3546585921825507,-0.8546585921825507
2022-06-26 06:35:00,83.74679364450861,180.0,2.235155225387621,1.75,2.592610675933264,2.5,3.5047497901508997,-1.0047497901508997
2022-06-26 06:40:00,73.17332649072318,156.68499790499382,2.290429624179859,1.75,1.8237630332443806,2.5,2.612173546661565,-0.1121735466615652
2022-06-26 06:45:00,50.03861260916586,180.0,2.290429624179859,1.75,2.6945887942009485,2.5,3.1940616377015467,-0.6940616377015467
2022-06-26 06:50:00,46.85783269099961,180.0,2.290429624179859,1.75,2.490313756676771,2.5,4.160304193073378,-1.6603041930733777
2022-06-26 06:55:00,48.1020625402054,180.0,2.290429624179859,1.75,2.050173634418396,2.5,5.152757114921009,-2.652757114921009
2022-06-26 07:00:00,44.91294021508763,180.0,2.296852935024025,1.75,2.3619444096055915,0.25,0.36133735823530794,-0.11133735823530794
2022-06-26 07:05:00,27.28900588441598,180.0,2.296852935024025,1.75,2.381893899281126,0.25,0.40796405541814196,-0.15796405541814196
