date,hour,parking_lot,entries,exits,occupancy_forecast
2022-06-13,7,P023,0,4,58
2022-06-13,8,P023,0,3,55
2022-06-13,9,P023,0,2,53
2022-06-13,10,P023,0,2,51
2022-06-13,11,P023,0,2,49
2022-06-13,12,P023,0,2,47
2022-06-13,13,P023,0,1,46
2022-06-13,14,P023,2,0,48
2022-06-13,15,P023,3,0,51
2022-06-13,16,P023,0,0,51
2022-06-13,17,P023,0,3,48
2022-06-13,18,P023,6,0,54
2022-06-13,19,P023,3,0,57
2022-06-13,20,P023,1,0,58
2022-06-13,21,P023,2,0,60
2022-06-13,22,P023,0,0,60
2022-06-13,23,P023,0,1,59
2022-06-14,0,P023,2,0,61
2022-06-14,1,P023,0,2,59
2022-06-14,2,P023,0,0,59
2022-06-14,3,P023,1,0,60
2022-06-14,4,P023,0,0,60
2022-06-14,5,P023,0,1,59
2022-06-14,6,P023,0,0,59
2022-06-14,7,P023,0,8,51
2022-06-14,8,P023,0,15,36
2022-06-14,9,P023,0,11,25
2022-06-14,10,P023,0,6,19
2022-06-14,11,P023,0,13,6
2022-06-14,12,P023,6,0,12
2022-06-14,13,P023,10,0,22
2022-06-14,14,P023,0,0,22
2022-06-14,15,P023,0,4,18
2022-06-14,16,P023,6,0,24
2022-06-14,17,P023,2,0,26
2022-06-14,18,P023,20,0,46
2022-06-14,19,P023,8,0,54
2022-06-14,20,P023,3,0,57
2022-06-14,21,P023,0,0,57
2022-06-14,22,P023,0,2,55
2022-06-14,23,P023,2,0,57
2022-06-15,0,P023,0,0,57
2022-06-15,1,P023,0,0,57
2022-06-15,2,P023,0,0,57
2022-06-15,3,P023,1,0,58
2022-06-15,4,P023,0,0,58
2022-06-15,5,P023,0,1,57
2022-06-15,6,P023,0,0,57
2022-06-15,7,P023,0,12,45
2022-06-15,8,P023,0,19,26
2022-06-15,9,P023,0,8,18
2022-06-15,10,P023,0,0,18
2022-06-15,11,P023,2,0,20
2022-06-15,12,P023,0,0,20
2022-06-15,13,P023,1,0,21
2022-06-15,14,P023,0,4,17
2022-06-15,15,P023,5,0,22
2022-06-15,16,P023,2,0,24
2022-06-15,17,P023,11,0,35
2022-06-15,18,P023,14,0,49
2022-06-15,19,P023,5,0,54
2022-06-15,20,P023,2,0,56
2022-06-15,21,P023,0,0,56
2022-06-15,22,P023,1,0,57
2022-06-15,23,P023,0,1,56
2022-06-16,0,P023,2,0,58
2022-06-16,1,P023,0,0,58
2022-06-16,2,P023,0,0,58
2022-06-16,3,P023,0,0,58
2022-06-16,4,P023,0,0,58
2022-06-16,5,P023,0,0,58
2022-06-16,6,P023,0,4,54
2022-06-16,7,P023,0,10,44
2022-06-16,8,P023,0,0,44
2022-06-16,9,P023,0,0,44
2022-06-16,10,P023,0,4,40
2022-06-16,11,P023,0,1,39
2022-06-16,12,P023,0,0,39
2022-06-16,13,P023,2,0,41
2022-06-16,14,P023,3,0,44
2022-06-16,15,P023,0,1,43
2022-06-16,16,P023,0,2,41
2022-06-16,17,P023,3,0,44
2022-06-16,18,P023,4,0,48
2022-06-16,19,P023,5,0,53
2022-06-16,20,P023,0,2,51
2022-06-16,21,P023,0,0,51
2022-06-16,22,P023,1,0,52
2022-06-16,23,P023,5,0,57
2022-06-17,0,P023,1,0,58
2022-06-17,1,P023,1,0,59
2022-06-17,2,P023,0,0,59
2022-06-17,3,P023,0,0,59
2022-06-17,4,P023,0,0,59
2022-06-17,5,P023,0,1,58
2022-06-17,6,P023,0,0,58
2022-06-17,7,P023,0,7,51
2022-06-17,8,P023,0,9,42
2022-06-17,9,P023,0,8,34
2022-06-17,10,P023,0,2,32
2022-06-17,11,P023,0,3,29
2022-06-17,12,P023,1,0,30
2022-06-17,13,P023,0,2,28
2022-06-17,14,P023,1,0,29
2022-06-17,15,P023,1,0,30
2022-06-17,16,P023,5,0,35
2022-06-17,17,P023,6,0,41
2022-06-17,18,P023,7,0,48
2022-06-17,19,P023,5,0,53
2022-06-17,20,P023,2,0,55
2022-06-17,21,P023,0,0,55
2022-06-17,22,P023,0,0,55
2022-06-17,23,P023,1,0,56
2022-06-18,0,P023,0,0,56
2022-06-18,1,P023,0,0,56
2022-06-18,2,P023,1,0,57
2022-06-18,3,P023,0,0,57
