local,day,latitude,longitude,score
Avenida da Républica,2022-01-21,38.73593143,-9.145660419,7
Avenida da Républica,2022-01-22,38.73593143,-9.145660419,5
Avenida da Républica,2022-01-23,38.73593143,-9.145660419,5
Avenida da Républica,2022-01-24,38.73593143,-9.145660419,7
Avenida da Républica,2022-01-25,38.73593143,-9.145660419,7
Avenida da Républica,2022-01-26,38.73593143,-9.145660419,7
Avenida da Républica,2022-01-27,38.73593143,-9.145660419,7
Avenida da Républica,2022-01-28,38.73593143,-9.145660419,7
Avenida da Républica,2022-01-29,38.73593143,-9.145660419,6
Avenida da Républica,2022-01-30,38.73593143,-9.145660419,3
Avenida da Républica,2022-01-31,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-01,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-02,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-03,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-04,38.73593143,-9.145660419,8
Avenida da Républica,2022-02-05,38.73593143,-9.145660419,6
Avenida da Républica,2022-02-06,38.73593143,-9.145660419,5
Avenida da Républica,2022-02-07,38.73593143,-9.145660419,6
Avenida da Républica,2022-02-08,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-09,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-10,38.73593143,-9.145660419,8
Avenida da Républica,2022-02-11,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-12,38.73593143,-9.145660419,6
Avenida da Républica,2022-02-13,38.73593143,-9.145660419,4
Avenida da Républica,2022-02-14,38.73593143,-9.145660419,6
Avenida da Républica,2022-02-15,38.73593143,-9.145660419,6
Avenida da Républica,2022-02-16,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-17,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-18,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-19,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-20,38.73593143,-9.145660419,5
Avenida da Républica,2022-02-21,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-22,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-23,38.73593143,-9.145660419,8
Avenida da Républica,2022-02-24,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-25,38.73593143,-9.145660419,7
Avenida da Républica,2022-02-26,38.73593143,-9.145660419,5
Avenida da Républica,2022-02-27,38.73593143,-9.145660419,5
Avenida da Républica,2022-02-28,38.73593143,-9.145660419,7
Avenida da Républica,2022-03-01,38.73593143,-9.145660419,6
Avenida da Républica,2022-03-02,38.73593143,-9.145660419,7
Avenida da Républica,2022-03-03,38.73593143,-9.145660419,8
Avenida da Républica,2022-03-04,38.73593143,-9.145660419,7
Avenida da Républica,2022-03-05,38.73593143,-9.145660419,5
Avenida da Républica,2022-03-06,38.73593143,-9.145660419,5
Avenida da Républica,2022-03-07,38.73593143,-9.145660419,8
Avenida da Républica,2022-03-08,38.73593143,-9.145660419,8
Avenida da Républica,2022-03-09,38.73593143,-9.145660419,8
Avenida da Républica,2022-03-10,38.73593143,-9.145660419,8
Avenida da Républica,2022-03-11,38.73593143,-9.145660419,7
Avenida da Républica,2022-03-12,38.73593143,-9.145660419,6
Avenida da Républica,2022-03-13,38.73593143,-9.145660419,6
Avenida da Républica,2022-03-14,38.73593143,-9.145660419,7
Avenida da Républica,2022-03-15,38.73593143,-9.145660419,10
Avenida da Républica,2022-03-16,38.73593143,-9.145660419,7
Avenida da Républica,2022-03-22,38.73593143,-9.145660419,7
Avenida da Républica,2022-03-23,38.73593143,-9.145660419,7
Avenida da Républica,2022-03-24,38.73593143,-9.145660419,8
Avenida da Républica,2022-03-25,38.73593143,-9.145660419,8
Avenida da Républica,2022-03-26,38.73593143,-9.145660419,6
Avenida da Républica,2022-03-27,38.73593143,-9.145660419,6
Avenida da Républica,2022-03-28,38.73593143,-9.145660419,7
Avenida da Républica,2022-03-29,38.73593143,-9.145660419,8
Avenida da Républica,2022-03-30,38.73593143,-9.145660419,8
Avenida da Républica,2022-03-31,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-01,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-02,38.73593143,-9.145660419,6
Avenida da Républica,2022-04-03,38.73593143,-9.145660419,6
Avenida da Républica,2022-04-04,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-05,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-06,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-07,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-08,38.73593143,-9.145660419,2
Avenida da Républica,2022-04-09,38.73593143,-9.145660419,7
Avenida da Républica,2022-04-10,38.73593143,-9.145660419,6
Avenida da Républica,2022-04-11,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-12,38.73593143,-9.145660419,7
Avenida da Républica,2022-04-13,38.73593143,-9.145660419,7
Avenida da Républica,2022-04-14,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-15,38.73593143,-9.145660419,5
Avenida da Républica,2022-04-16,38.73593143,-9.145660419,5
Avenida da Républica,2022-04-17,38.73593143,-9.145660419,5
Avenida da Républica,2022-04-18,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-19,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-20,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-21,38.73593143,-9.145660419,7
Avenida da Républica,2022-04-22,38.73593143,-9.145660419,7
Avenida da Républica,2022-04-23,38.73593143,-9.145660419,6
Avenida da Républica,2022-04-24,38.73593143,-9.145660419,5
Avenida da Républica,2022-04-25,38.73593143,-9.145660419,4
Avenida da Républica,2022-04-26,38.73593143,-9.145660419,6
Avenida da Républica,2022-04-27,38.73593143,-9.145660419,7
Avenida da Républica,2022-04-28,38.73593143,-9.145660419,8
Avenida da Républica,2022-04-29,38.73593143,-9.145660419,7
Avenida da Républica,2022-04-30,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-01,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-02,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-03,38.73593143,-9.145660419,8
Avenida da Républica,2022-05-04,38.73593143,-9.145660419,7
Avenida da Républica,2022-05-05,38.73593143,-9.145660419,7
