datetime,Classic_Stat_occ,Classic_Stat_price,Classic_Chronos_occ,Classic_Chronos_price,MCTS_Stat_occ,MCTS_Stat_price,MCTS_Chronos_occ,MCTS_Chronos_price,Forecast_Chronos,Forecast_Stat
2022-06-07 23:25:00,1.8103478638833297,1.8478679262876112,140.64765424466026,2.1601824188642715,2.3850639947517465,1.75,180.0,1.7000000000000002,168.5742130279541,1.8617897073415233
2022-06-07 23:30:00,1.8733354237537108,1.8478679262876112,148.7035085783624,2.1601824188642715,2.6675578909331485,1.75,166.17864408850798,1.7000000000000002,168.6529541015625,1.8360242656548065
2022-06-07 23:35:00,1.7327909892791937,1.8478679262876112,150.16254183109567,2.1601824188642715,2.2436514053559944,1.75,180.0,1.7000000000000002,168.7316951751709,1.8144557614878711
2022-06-07 23:40:00,1.9434189409966875,1.8478679262876112,160.1125735897639,2.1571514738804476,1.7403996426167991,1.75,170.81388034102807,1.7000000000000002,168.8104362487793,1.7929057642670767
2022-06-07 23:45:00,1.9936202312811366,1.8478679262876112,167.6443671049518,2.1571514738804476,2.5591671617155494,1.75,172.08414046691914,1.7000000000000002,168.8891773223877,1.8189156503574921
2022-06-07 23:50:00,2.054033719253704,1.8478679262876112,157.31401553107293,2.1571514738804476,2.6750511152464513,1.75,180.0,1.7000000000000002,168.9679183959961,1.8417457081642254
2022-06-07 23:55:00,2.568550037473608,1.8478679262876112,150.01727642480688,2.1571514738804476,2.342298349085394,1.75,180.0,1.7000000000000002,169.0466594696045,1.8329989686041226
2022-06-08 00:00:00,1.9685028505497282,1.8478679262876112,162.5215399006035,2.1679554273362456,2.196835778159329,1.75,180.0,1.7000000000000002,169.1254005432129,1.8349570516265432
2022-06-08 00:05:00,2.0768694876183535,1.8478679262876112,153.31578100072005,2.1679554273362456,2.3473097848395734,1.75,180.0,1.7000000000000002,169.1647663116455,1.8530810979612942
2022-06-08 00:10:00,3.0763846555619967,1.8478679262876112,173.69591213612583,2.1679554273362456,1.552136911382197,1.75,180.0,1.7000000000000002,169.20413208007812,1.7741104979417819
2022-06-08 00:15:00,2.4206670170998508,1.8478679262876112,159.75926741309965,2.1679554273362456,180.0,1.75,180.0,1.7000000000000002,169.24349784851074,1.750176308610448
2022-06-08 00:20:00,1.719386801298743,1.8478679262876112,147.38670078658728,2.1877949869165807,180.0,1.75,180.0,1.7000000000000002,169.28286361694336,1.6836524557288004
2022-06-08 00:25:00,1.7280828202136058,1.8478679262876112,149.0375543812761,2.1877949869165807,1.557415865452764,1.75,180.0,1.7000000000000002,169.32222938537598,1.703747838657761
2022-06-08 00:30:00,1.664944115568347,1.8478679262876112,117.70344369604406,2.1877949869165807,2.6725784772611787,1.75,180.0,1.7000000000000002,169.3615951538086,1.715597197839415
2022-06-08 00:35:00,1.6943972774998002,1.8478679262876112,113.13516067146641,2.1877949869165807,3.049396755380404,1.75,180.0,1.7000000000000002,169.4009609222412,1.7609942777363279
2022-06-08 00:40:00,1.8033226674094933,1.8478679262876112,113.8325183426173,2.2085117480712912,2.7672809657667523,1.75,180.0,1.7000000000000002,169.44032669067383,1.7486736001999454
