date,hour,y_true,y_pred,abs_err,sq_err
2022-06-14,10,6.0,30.52027027027027,24.52027027027027,601.2436541271001
2022-06-14,11,11.0,29.14189189189189,18.14189189189189,329.12824141709274
2022-06-14,12,22.0,29.695945945945947,7.695945945945947,59.227584002921866
2022-06-14,13,22.0,29.945945945945947,7.945945945945947,63.138056975894834
2022-06-14,14,16.0,27.37837837837838,11.378378378378379,129.4674945215486
2022-06-14,15,17.0,27.43918918918919,10.43918918918919,108.97667092768445
2022-06-14,16,21.0,30.31756756756757,9.317567567567568,86.81706537618702
2022-06-14,17,37.0,35.608108108108105,1.3918918918918948,1.937363038714398
2022-06-14,18,48.0,40.86486486486486,7.135135135135137,50.910153396639906
2022-06-14,19,54.0,45.33108108108108,8.66891891891892,75.15015522279036
2022-06-14,20,55.0,48.486486486486484,6.513513513513516,42.425858290723184
2022-06-14,21,55.0,50.08783783783784,4.912162162162161,24.12933710737764
2022-06-14,22,57.0,51.0,6.0,36.0
2022-06-14,23,57.0,51.91891891891892,5.081081081081081,25.817384952520083
2022-06-15,0,57.0,52.74324324324324,4.256756756756758,18.119978086194312
2022-06-15,1,57.0,53.229729729729726,3.7702702702702737,14.214937910883883
2022-06-15,2,58.0,53.391891891891895,4.608108108108105,21.23466033601166
2022-06-15,3,58.0,53.432432432432435,4.567567567567565,20.86267348429508
2022-06-15,4,57.0,53.36486486486486,3.635135135135137,13.21420745069395
2022-06-15,5,58.0,53.28378378378378,4.716216216216218,22.242695398100818
2022-06-15,6,56.0,52.472972972972975,3.5270270270270245,12.43991964937909
2022-06-15,7,38.0,48.96621621621622,10.966216216216218,120.25789810080353
2022-06-15,8,21.0,42.601351351351354,21.601351351351354,466.618380204529
2022-06-15,9,20.0,35.472972972972975,15.472972972972975,239.41289262235216
2022-06-15,10,20.0,30.52027027027027,10.52027027027027,110.67608655953251
2022-06-15,11,23.0,29.14189189189189,6.141891891891891,37.722836011687356
2022-06-15,12,23.0,29.695945945945947,6.695945945945947,44.83569211102997
2022-06-15,13,17.0,29.945945945945947,12.945945945945947,167.59751643535432
2022-06-15,14,17.0,27.37837837837838,10.378378378378379,107.71073776479183
